Protein,Protein ID,Entry Name,Gene,Length,Organism,Protein Description,Protein Existence,Protein Probability,Top Peptide Probability,Total Peptides,Unique Peptides,Razor Peptides,Total Spectral Count,Unique Spectral Count,Razor Spectral Count,Total Intensity,Unique Intensity,Razor Intensity,Razor Assigned Modifications,Razor Observed Modifications,Indistinguishable Proteins,MCF_ctrl_1,MCF_ctrl_2,MCF_ctrl_3,MCF_ctrl_4,MCF_KD_1,MCF_KD_2,MCF_KD_3,MCF_KD_4,MDA_ctrl_1,MDA_ctrl_2,MDA_ctrl_3,MDA_ctrl_4,MDA_KD_1,MDA_KD_2,MDA_KD_3,MDA_KD_4
contam_sp|O77727|K1C15_SHEEP,O77727,K1C15_SHEEP,KRT15,453,Ovis aries,"Keratin, type I cytoskeletal 15 ",2:Experimental evidence at transcript level,1,0.999,8,2,8,41,11,41,507815272,399968416,507815272,"13K(304.2071), 15M(15.9949), 16K(304.2071), 16M(15.9949), 17K(304.2071), 19K(304.2071), 3M(15.9949), 6K(304.2071), 7K(304.2071), N-term(304.2071)",,,4670844.052,2870348.479,4171249.93,2542971.632,4103589.704,6386005.249,5648634.951,5967138.019,1938215.771,1449431.093,1317999.288,1776145.511,2095165.601,1669946.126,1593161.52,1803084.608
contam_sp|P00330|ADH1_YEAST,P00330,ADH1_YEAST,ADH1,348,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Alcohol dehydrogenase 1 ,1:Experimental evidence at protein level,1,0.9989,4,4,4,10,10,10,10923438,10923438,10923438,"13K(304.2071), 7K(304.2071), 9K(304.2071), N-term(304.2071)",,,130517.8186,104328.7567,122961.6223,104506.574,135117.036,165556.6313,155027.6248,175663.5973,187319.9835,142079.0321,134958.7359,170081.5397,180627.9746,157736.2044,159959.4291,166397.1166
contam_sp|P00761|TRYP_PIG,P00761,TRYP_PIG,,231,Sus scrofa,Trypsin ,1:Experimental evidence at protein level,1,0.999,7,5,7,298,285,298,7212090048,7212090048,7212090048,"13K(304.2071), 17M(15.9949), 20K(304.2071), 2K(304.2071), 8K(304.2071), N-term(304.2071)",,,14128181.12,10420557.79,15448707.01,11027443.29,17060460.49,21554244.18,22853803.87,18861448.05,20638324.56,17632331.47,16427282.04,20150218.8,22336552.5,20006595.5,17969833.4,19562122.65
contam_sp|P02769|ALBU_BOVIN,P02769,ALBU_BOVIN,ALB,607,Bos taurus,Serum albumin ,1:Experimental evidence at protein level,1,0.999,29,23,29,79,60,79,1288619840,1062966208,1288619840,"10K(304.2071), 11C(57.0214), 11K(304.2071), 12K(304.2071), 13K(304.2071), 15K(304.2071), 16K(304.2071), 1K(304.2071), 2C(57.0214), 2K(304.2071), 3C(57.0214), 3K(304.2071), 3M(15.9949), 4C(57.0214), 4K(304.2071), 5C(57.0214), 6C(57.0214), 7K(304.2071), 8C(57.0214), 8K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071)",,,11248044.59,7953410.139,10566627.57,10604953.54,14765626.76,14751635.31,16527181.76,13839397.92,24479408.75,14271926.02,12952868.11,16241222.63,16866793.88,12582750.21,14700820.09,16444003.26
sp|A0A0B4J2D5|GAL3B_HUMAN,A0A0B4J2D5,GAL3B_HUMAN,GATD3B,268,Homo sapiens OX=9606,"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial ",5:Protein uncertain,1,0.999,7,0,7,18,0,18,79011762,0,79011762,"10K(304.2071), 11K(304.2071), 12C(57.0214), 13C(57.0214), 15K(304.2071), 15M(15.9949), 1K(304.2071), 21K(304.2071), 22K(304.2071), 25K(304.2071), 26K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071)",,sp|P0DPI2|GAL3A_HUMAN,1062514.172,700585.8213,1201134.887,597124.3353,1252045.616,1673154.71,1524920.774,1736344.636,833458.0195,599971.5788,523975.2581,703815.8055,874920.7402,743263.084,687087.0843,782819.9853
sp|A0AV96|RBM47_HUMAN,A0AV96,RBM47_HUMAN,RBM47,593,Homo sapiens OX=9606,RNA-binding protein 47 ,1:Experimental evidence at protein level,1,0.999,8,7,8,14,13,14,30800808,30360432,30800808,"12K(304.2071), 13K(304.2071), 8K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071)",,,803844.6514,605422.3574,715395.5391,503586.346,856109.3839,1141672.132,828855.4225,961519.975,542801.2489,438409.1518,434671.3938,549032.9565,784803.8574,675915.1912,664688.5452,713141.2717
sp|A0AVF1|IFT56_HUMAN,A0AVF1,IFT56_HUMAN,TTC26,554,Homo sapiens OX=9606,Intraflagellar transport protein 56 ,2:Experimental evidence at transcript level,1,0.999,5,4,5,8,6,8,23666201,19870226,23666201,"11K(304.2071), 11M(15.9949), 20K(304.2071), 3C(57.0214), 9M(15.9949), N-term(304.2071)",,,296197.7846,251337.1441,262867.0996,212566.1553,309144.5514,372910.6897,274373.1747,313720.0718,308965.5865,263685.8169,271399.2291,335951.8089,438675.7744,363169.9043,366896.829,386032.0436
sp|A0AVT1|UBA6_HUMAN,A0AVT1,UBA6_HUMAN,UBA6,1052,Homo sapiens OX=9606,Ubiquitin-like modifier-activating enzyme 6 ,1:Experimental evidence at protein level,1,0.999,30,30,30,78,78,78,184936716,184936716,184936716,"10C(57.0214), 10K(304.2071), 11K(304.2071), 12K(304.2071), 13K(304.2071), 14K(304.2071), 14M(15.9949), 15K(304.2071), 16K(304.2071), 17K(304.2071), 1C(57.0214), 1K(304.2071), 2C(57.0214), 2K(304.2071), 2M(15.9949), 3K(304.2071), 5C(57.0214), 5K(304.2071), 6C(57.0214), 7K(304.2071), 7M(15.9949), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)",,,3786727.683,3117375.016,3582300.044,2550174.49,4657813.923,5935476.715,5004672.322,5085340.95,7610150.695,5895160.433,5702778.138,7351281.94,9001131.884,8018651.933,7122405.7,8421901.446
sp|A0FGR8|ESYT2_HUMAN,A0FGR8,ESYT2_HUMAN,ESYT2,921,Homo sapiens OX=9606,Extended synaptotagmin-2 ,1:Experimental evidence at protein level,1,0.999,18,18,18,30,30,30,111434460,111434460,111434460,"11M(15.9949), 12K(304.2071), 12M(15.9949), 13K(304.2071), 15C(57.0214), 16K(304.2071), 18K(304.2071), 21K(304.2071), 2C(57.0214), 2K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071)",,,2306408.492,1976778.279,2204372.574,1519874.805,2676522.034,3534437.447,2653326.217,2936360.364,3356197.021,2732477.293,2718429.301,3446519.349,4270100.883,3761648.309,3692280.139,4126870.395
sp|A0JLT2|MED19_HUMAN,A0JLT2,MED19_HUMAN,MED19,244,Homo sapiens OX=9606,Mediator of RNA polymerase II transcription subunit 19 ,1:Experimental evidence at protein level,1,0.999,2,2,2,3,3,3,6884908,6884908,6884908,"26K(304.2071), 8K(304.2071), N-term(304.2071)",,,98647.236,71651.0808,87043.8779,65415.8298,91836.4854,132714.3892,100672.9146,101848.5471,142767.8555,99018.4304,99110.9837,116432.6199,148925.5508,117331.7593,120259.5331,139500.2238
